,MT9216,MT9612,MT9603,MT9026,MT9638,MT9653,MT5510,T963,T963S,T982,T920,T950X4,T950Z4D,T972,T962,T950D5,T966D5,NVT
关机,,,,,,,,,,,poweroff,,,,,,,
重启,,reboot,reboot,reboot,reboot,reboot,reboot,reboot,reboot,reboot,reboot,reboot,reboot,reboot,reboot,"关闭自动重启：
su
setprop persist.sys.disable_rescue true",reboot,
"退工厂模式
进用户模式","1、CMD工具发送1230指令可以退
2、正常开机，输入如下指令：
su
switchtouser;echo $?
重启",,"【退老化、切用户指令】
su
factmessager -des
1230
1229",,"Kernel模式下：
switchtouser;echo $?","进入用户模式：
su
switchtouser;echo $?",,"切用户方式：
（1）使用AT测试脚本，先执行退老化的操作，再执行切用户的命令
（2）使用CCM工具，先发送1481退老化，再发送1230切用户
（3）使用串口指令：
su
switchtouser;
reboot","su;
switchtouser",,"切用户
su;
switchtouser","su
am broadcast -a com.duokan.command.fake -e commandid 1230
reboot","退工厂
idme bootmode 1
idme dev_flags 0
",,,"升级完
断上电
输入指令
su
switchtouser
重启","升级完
断上电
输入指令
su
switchtouser
重启",
开串口,"mboot下敲
printenv
setenv close_log no
setenv dbgLevel DEBUG
save
reset

mboot下敲
setenv UARTOnOff on
setenv close_log no
save
ac loglevel 7
reset","开串口：
进入uboot下敲如下指令：
setenv console_enable 1
saveenv
reset

user版本开启串口权限方法：
mboot下输入：
setenv UARTOnOff on
save
ac loglevel 0
ac androidboot.console_enable miroot
saveenv
reset",关闭串口：112233,"按着回车上电进入boot
idme fos_flags 1a7","9638 开串口操作：
setenv UARTOnOff on
saveenv
reset",波特率：115200,,"T963开串口：
uboot下输入
factorydata write console_enable 1;
saveenv;
reboot;","Uboot下:
factorydata write console_enable 1
reboot",,,,,,,,,
变更log打印等级,,,"用户模式下
su
echo 7 > /proc/sys/kernel/printk 
logcat",,,,"ac loglevel 7
saveenv
reset","echo 7 > /proc/sys/kernel/printk（开机后#权限下使用）
setenv initargs ${initargs} loglevel=7;save（备注：7是开到最大，0是关闭）","Uboot下：
factorydata write log_level 8---最高
factorydata write log_level 0---最低","factorydata?write?log_level?8
saveenv","echo 7 > /proc/sys/kernel/printk
#7代表开权限最大#",setenv kloglevel 7;save（备注：7是开到最大）,,,,,"开串口打印权限：
factorydata write console_enable 1
调串口打印等级：
factorydata write log_level 7",
关打印,"关闭kernel log
dmesg -n 7
查看muteflag
dmesg -C; echo get all > /sys/ke[ACFG_NFX_AR] timeout
解除mute
echo WordW1,0X1310,0X19,0,1> /proc/utopia_mddb/riuinfo",,,,,,,,,,echo 0 > /proc/sys/kernel/printk,,"关打印
su
echo 0 > /proc/sys/kernel/printk ",,,"方法一：dmesg   -n1
方法二：echo 0 > /proc/sys/kernel/printk",,按照Ctrl，连续按两次 P。 （第一Ctrl+p和第二个，关闭打印的等级不同）按一下ctrl+P，是关闭打印，按住ctrl同时再按一下p恢复打印。
查系统版本,,,,,,,,,,,uname -a,,,,,,,
查软件版本,,,,,,开机 主页面：Settings >> Device Preferences >> About >> Android TV OS build,,"开机后su看软件版本
getprop |grep incremental","用户模式：
getprop?|grep?incremental",,getprop |grep incremental,,,,,"查询软件版本更新的时间：
getprop ro.vendor.build.date",,
设置上电自动开机/待机,"上电开机:
在mboot下敲
setenv factory_poweron_mode direct
saveenv
硬开关机

上电进待机：
在mboot下敲
setenv factory_poweron_mode secondary
saveenv
硬开关机","设置上电待机：
开机长按回车键进mboot下敲
setenv factory_poweron_mode secondary
saveenv

上电开机：在mboot下敲
setenv factory_poweron_mode direct
saveenv
reset","mboot模式下输入：

上电开机：
uenvset force_poweron_mode direct
uenvsave
reset
上电待机：
uenvset force_poweron_mode secondary
uenvsave
reset",,,,"断电上电 ，按住enter  进入mboot模式  输入  
setenv factory_poweron_mode
reset","设置上电待机的方式：
uboot下输入指令：
factorydata write factory_power_mode secondary

设置上电开机的方式：
uboot下输入指令：
factorydata write factory_power_mode direct",,,"小米上电开机
上电开机：setenv factory_poweron_mode direct;keyman write factory_power_mode str test;saveenv
上电待机：setenv factory_poweron_mode secondary;keyman write factory_power_mode str secondary;saveenv",,,,,"设置上电待机：
开机长按回车键进mboot下敲
setenv factory_poweron_mode secondary
saveenv

上电开机：在mboot下敲
setenv factory_poweron_mode direct
saveenv
reset","(1)设置上电开机
factorydata write factory_power_mode direct;
(2)设置上电待机
factorydata write factory_power_mode secondary;

bootloader
开机进待机:factorydata write factory_power_mode secondary
开机启动: factorydata write factory_power_mode direct

确认上电状态：
factorydata dump",
没有panel tag（屏标），写屏参,"9216切机型：
1.mboot下敲detect_id
2.printenv
3.cleanallenv
4.reset","9612切机型：
1、开机长按Enter键进入mboot
2、setenv force_panel_type 0x0D
3、save
4、reset","MT9603切机型方法：
mboot下
setenv force_panel_id 0x03
save
reset",,,,,"uboot下
factorydata?write?assm_mn?dz3n---dz3n是机型
saveenv
reboot

若整机没有画面，需要切屏参：
uboot下输入
factorydata write assm_mn ''
saveenv
reset

重新上电开机：
Uboot下输入：
factorydata write assm_mn RZ9N
saveenv
reboot

清除tag：
Uboot下：
setenv fixtag ''
saveenv
reboot

写tag：
uboot下输入
setenv fixtag 36
saveenv;
reset",,,,,,,,"【点屏指令】
HV320WHB-F56点屏切屏参：
按住enter上电在mboot模式下输入如下指令：
1.setenv model_name HD_HV320WHB-F56
2.saveenv
3.reboot

ST3151A07-5点屏切屏参：
按住enter上电在mboot模式下输入如下指令：
1.setenv model_name HD_ST3151A07-5
2.saveenv
3.reboot

HV430FHB-F94点屏切屏参：
按住enter上电在mboot模式下输入如下指令：
1.setenv model_name FHD_HV430FHB-F94
2.saveenv
3.reboot","Uboot下输入：(xx为屏参后2位)
setenv fixtag xx
saveenv
reboot

查所有屏参
model_list",
